,date,txn_count
2045,2017-11-16,643564
2046,2017-11-17,766905
2047,2017-11-18,790219
2048,2017-11-19,754520
2049,2017-11-20,617959
2050,2017-11-21,585438
2051,2017-11-22,574363
2052,2017-11-23,437243
2053,2017-11-24,438596
2054,2017-11-25,590877
2055,2017-11-26,610001
2056,2017-11-27,632259
2057,2017-11-28,637349
2058,2017-11-29,606833
2059,2017-11-30,702207
2060,2017-12-01,894406
2061,2017-12-02,897261
2062,2017-12-03,855367
2063,2017-12-04,711943
2064,2017-12-05,658342
2065,2017-12-06,640101
2066,2017-12-07,662742
2067,2017-12-08,782590
2068,2017-12-09,810884
2069,2017-12-10,783305
2070,2017-12-11,671032
2071,2017-12-12,630714
2072,2017-12-13,625912
2073,2017-12-14,647704
2074,2017-12-15,791170
2075,2017-12-16,754913
2076,2017-12-17,707365
2077,2017-12-18,643973
2078,2017-12-19,626320
2079,2017-12-20,619458
2080,2017-12-21,623116
2081,2017-12-22,667007
2082,2017-12-23,589470
2083,2017-12-24,447945
2084,2017-12-25,252975
2085,2017-12-26,479063
2086,2017-12-27,558448
2087,2017-12-28,574965
2088,2017-12-29,676376
2089,2017-12-30,646971
2090,2017-12-31,661736
2091,2018-01-01,755610
2092,2018-01-02,687339
2093,2018-01-03,616287
2094,2018-01-04,569302
2095,2018-01-05,646835
2096,2018-01-06,679258
2097,2018-01-07,681775
2098,2018-01-08,581212
2099,2018-01-09,572784
2100,2018-01-10,548609
2101,2018-01-11,565783
2102,2018-01-12,709951
2103,2018-01-13,769590
2104,2018-01-14,802431
2105,2018-01-15,723832
2106,2018-01-16,628271
2107,2018-01-17,595685
2108,2018-01-18,606083
2109,2018-01-19,747597
2110,2018-01-20,839728
2111,2018-01-21,873799
2112,2018-01-22,677532
2113,2018-01-23,588606
2114,2018-01-24,595853
2115,2018-01-25,624188
2116,2018-01-26,799072
2117,2018-01-27,886045
2118,2018-01-28,887962
2119,2018-01-29,702599
2120,2018-01-30,633552
2121,2018-01-31,678418
2122,2018-02-01,745956
2123,2018-02-02,854732
2124,2018-02-03,878210
2125,2018-02-04,976315
2126,2018-02-05,792839
2127,2018-02-06,598679
2128,2018-02-07,595651
2129,2018-02-08,614679
2130,2018-02-09,770591
2131,2018-02-10,831303
2132,2018-02-11,818692
2133,2018-02-12,632634
2134,2018-02-13,591406
2135,2018-02-14,616647
2136,2018-02-15,643874
2137,2018-02-16,778883
2138,2018-02-17,825495
2139,2018-02-18,801162
2140,2018-02-19,672494
2141,2018-02-20,615262
2142,2018-02-21,616923
2143,2018-02-22,653901
2144,2018-02-23,797472
2145,2018-02-24,871093
2146,2018-02-25,858865
2147,2018-02-26,689033
2148,2018-02-27,647118
2149,2018-02-28,729109
2150,2018-03-01,794597
2151,2018-03-02,887777
2152,2018-03-03,901474
2153,2018-03-04,878239
2154,2018-03-05,723048
2155,2018-03-06,655469
2156,2018-03-07,663734
2157,2018-03-08,678160
2158,2018-03-09,820325
2159,2018-03-10,844305
2160,2018-03-11,845811
